case_id,charge_seq,charge,occur_dt,ucr_code,ucr_cat,ucr_group,(No column name),case_status,csstatus,bias,vic_lst
1800003,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",19:00.0,550,ORS,WARRANT,SUICIDAL SUBJEC,CLEARED BY ARREST,A ,NULL,[]
1800004,1,DUII,26:00.0,210,SOC,DUII,MOTOR VEH ACC N,CLEARED BY ARREST,A ,NULL,[]
1800007,1,CRIMINAL MISCHIEF 2,21:00.0,140,PRP,VANDALISM,TRANSPORT,CLEARED BY ARREST,A ,NULL,[]
1800005,1,MINOR IN POSSESS LIQUOR,19:00.0,224,SOC,LIQUOR LAW VIOLATION,CHECK WELFARE,CLEARED BY ARREST,A ,NULL,[]
1800005,2,MENTAL HOLD BY POLICE OFFICER,19:00.0,513,ORS,CUSTODY,CHECK WELFARE,CLEARED BY ARREST,A ,NULL,[]
1800013,1,SUSPICIOUS CONDITIONS,34:00.0,999,UNA,UNASSIGNED,PATROL CHECK,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800010,1,UUV,18:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,ARREST BY OTHER AGENCY,T ,NULL,"[{""age"":""21"",""sex"":""M"",""type"":""I""}]"
1800021,1,UNLF ENTRY MOTOR VEHICLE,09:00.0,75,PRP,MV THEFT,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""69"",""sex"":""F"",""type"":""I""}]"
1800009,3,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",59:00.0,550,ORS,WARRANT,THEFT FROM VEHI,CLEARED BY ARREST,A ,NULL,[]
1800009,2,POSSESS HEROIN PRIOR FEL CONV,59:00.0,180,SOC,DRUG LAW VIOLATION,THEFT FROM VEHI,CLEARED BY ARREST,A ,NULL,[]
1800009,1,UNLF ENTRY MOTOR VEHICLE,59:00.0,75,PRP,MV THEFT,THEFT FROM VEHI,CLEARED BY ARREST,A ,NULL,"[{""age"":""59"",""sex"":""M"",""type"":""I""},{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1800024,1,THEFT 2 - FROM BUILDING,15:00.0,67,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""23"",""sex"":""F"",""type"":""I""}]"
1800017,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",31:00.0,550,ORS,WARRANT,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1800008,1,CRIMINAL MISCHIEF 3,00:00.0,140,PRP,VANDALISM,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800036,1,CONS UNLIC PREM/OPEN CON,34:00.0,224,SOC,LIQUOR LAW VIOLATION,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1800029,2,CRIMINAL MISCHIEF 3 - RESULT CRIMIINAL ACT,03:00.0,141,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""55"",""sex"":""M"",""type"":""I""}]"
1800037,1,CRIMINAL MISCHIEF 1 - VANDALISM,34:00.0,140,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""29"",""sex"":""M"",""type"":""I""}]"
